Ticker,Year,DividendYield
NVDA,2010,0.0
NVDA,2011,0.0
NVDA,2012,2.8292333371594842e-05
NVDA,2013,9.167789361036371e-05
NVDA,2014,7.421204661002546e-05
NVDA,2015,6.718760528495645e-05
NVDA,2016,3.8479428160935365e-05
NVDA,2017,1.554149176174686e-05
NVDA,2018,1.1181945790651233e-05
NVDA,2019,1.5617904010151056e-05
NVDA,2020,6.653206334683814e-06
NVDA,2021,3.4034914060464895e-06
NVDA,2022,3.6207850487163075e-06
NVDA,2023,1.7986738378692907e-06
MSFT,2010,0.00010755092974777338
MSFT,2011,0.0001338585800082573
MSFT,2012,0.00014183328276053372
MSFT,2013,0.00014369742654000918
MSFT,2014,0.00012627913218964183
MSFT,2015,0.00012309276039678196
MSFT,2016,0.00012018489047325934
MSFT,2017,9.595531682437187e-05
MSFT,2018,7.358450765575698e-05
MSFT,2019,6.191504852457124e-05
MSFT,2020,4.349760343017037e-05
MSFT,2021,3.423573780992879e-05
MSFT,2022,3.855564217266168e-05
MSFT,2023,3.58867385740143e-05
AAPL,2010,0.0
AAPL,2011,0.0
AAPL,2012,4.2581320159121014e-05
AAPL,2013,0.00011416456029157073
AAPL,2014,9.381153598419217e-05
AAPL,2015,7.461678612286603e-05
AAPL,2016,9.557860202395393e-05
AAPL,2017,6.856453526835682e-05
AAPL,2018,6.272302492609128e-05
AAPL,2019,6.184034541906949e-05
AAPL,2020,3.5047518227123674e-05
AAPL,2021,2.4914521290313306e-05
AAPL,2022,2.342366816270601e-05
AAPL,2023,2.2414747283969414e-05
AMZN,2010,0.0
AMZN,2011,0.0
AMZN,2012,0.0
AMZN,2013,0.0
AMZN,2014,0.0
AMZN,2015,0.0
AMZN,2016,0.0
AMZN,2017,0.0
AMZN,2018,0.0
AMZN,2019,0.0
AMZN,2020,0.0
AMZN,2021,0.0
AMZN,2022,0.0
AMZN,2023,0.0
GOOGL,2010,0.0
GOOGL,2011,0.0
GOOGL,2012,0.0
GOOGL,2013,0.0
GOOGL,2014,0.0
GOOGL,2015,0.0
GOOGL,2016,0.0
GOOGL,2017,0.0
GOOGL,2018,0.0
GOOGL,2019,0.0
GOOGL,2020,0.0
GOOGL,2021,0.0
GOOGL,2022,0.0
GOOGL,2023,0.0
META,2012,0.0
META,2013,0.0
META,2014,0.0
META,2015,0.0
META,2016,0.0
META,2017,0.0
META,2018,0.0
META,2019,0.0
META,2020,0.0
META,2021,0.0
META,2022,0.0
META,2023,0.0
AVGO,2010,1.474264925875086e-05
AVGO,2011,6.98347153023069e-05
AVGO,2012,9.669471501855621e-05
AVGO,2013,0.00011491743105723397
AVGO,2014,8.14569022599542e-05
AVGO,2015,6.238989498103705e-05
AVGO,2016,7.759959594768188e-05
AVGO,2017,9.890227883284811e-05
AVGO,2018,0.0002219654060502646
AVGO,2019,0.00017848719496766876
AVGO,2020,0.00020098477433846482
AVGO,2021,0.00012519561229072142
AVGO,2022,0.00013373179335440132
AVGO,2023,9.369230501910825e-05
TSLA,2010,0.0
TSLA,2011,0.0
TSLA,2012,0.0
TSLA,2013,0.0
TSLA,2014,0.0
TSLA,2015,0.0
TSLA,2016,0.0
TSLA,2017,0.0
TSLA,2018,0.0
TSLA,2019,0.0
TSLA,2020,0.0
TSLA,2021,0.0
TSLA,2022,0.0
TSLA,2023,0.0
TSM,2010,0.0002858514947635998
TSM,2011,0.00024183294573650854
TSM,2012,0.00020591123602351264
