Ticker,Date,StockPrice,NetEPS,PE
NVDA,2010-01-01,0.3,,12.975
NVDA,2011-01-01,0.41750000000000004,,31.5275
NVDA,2012-01-01,0.305,,14.4725
NVDA,2013-01-01,0.325,,14.8825
NVDA,2014-01-01,0.425,,19.235
NVDA,2015-01-01,0.54,,20.2675
NVDA,2016-01-01,1.1824999999999999,,32.3225
NVDA,2017-01-01,3.5949999999999998,,43.0625
NVDA,2018-01-01,5.7299999999999995,,37.6725
NVDA,2019-01-01,4.3100000000000005,,36.1075
NVDA,2020-01-01,9.0625,,66.46
NVDA,2021-01-01,18.23,,73.49000000000001
NVDA,2022-01-01,18.645,,57.5025
NVDA,2023-01-01,33.6775,,105.80000000000001
NVDA,2024-01-01,99.395,,52.28
NVDA,2025-01-01,136.57666666666668,,44.76666666666667
MSFT,2010-01-01,19.855,,9.2025
MSFT,2011-01-01,19.86,,7.425
MSFT,2012-01-01,23.805,,11.525
MSFT,2013-01-01,27.544999999999998,,11.13
MSFT,2014-01-01,37.144999999999996,,14.42
MSFT,2015-01-01,40.1275,,25.3475
MSFT,2016-01-01,50.5,,28.05
MSFT,2017-01-01,67.4575,,31.744999999999997
MSFT,2018-01-01,94.58250000000001,,39.2125
MSFT,2019-01-01,130.07,,25.19
MSFT,2020-01-01,190.45749999999998,,30.8925
MSFT,2021-01-01,272.3525,,32.2225
MSFT,2022-01-01,253.28,,26.985
MSFT,2023-01-01,325.4975,,32.27
MSFT,2024-01-01,427.0025,,35.6875
MSFT,2025-01-01,464.31666666666666,,43.629999999999995
AAPL,2010-01-01,8.209999999999999,,16.885
AAPL,2011-01-01,11.0475,,11.6175
AAPL,2012-01-01,17.9625,,11.717500000000001
AAPL,2013-01-01,14.46,,10.0125
AAPL,2014-01-01,21.009999999999998,,12.88
AAPL,2015-01-01,26.11,,11.8975
AAPL,2016-01-01,24.835,,11.65
AAPL,2017-01-01,35.66,,15.709999999999999
AAPL,2018-01-01,43.625,,15.39
AAPL,2019-01-01,54.49,,18.0375
AAPL,2020-01-01,98.125,,28.985
AAPL,2021-01-01,141.585,,26.64
AAPL,2022-01-01,142.66,,23.5325
AAPL,2023-01-01,178.99,,29.3675
AAPL,2024-01-01,215.52249999999998,,34.065
AAPL,2025-01-01,220.95499999999998,,34.415
AMZN,2010-01-01,7.275,,59.9075
AMZN,2011-01-01,9.675,,102.055
AMZN,2012-01-01,11.7025,,112.31750000000001
AMZN,2013-01-01,15.6925,,451.035
AMZN,2014-01-01,16.175,,347.1475
AMZN,2015-01-01,24.9225,,321.735
AMZN,2016-01-01,36.205,,191.6575
AMZN,2017-01-01,49.817499999999995,,211.6225
AMZN,2018-01-01,83.1525,,125.9925
AMZN,2019-01-01,90.7275,,77.5275
AMZN,2020-01-01,138.93,,92.3475
AMZN,2021-01-01,164.42,,58.6425
AMZN,2022-01-01,116.5525,,69.405
AMZN,2023-01-01,128.1775,,116.71000000000001
AMZN,2024-01-01,194.8375,,44.082499999999996
AMZN,2025-01-01,206.72,,33.67
GOOGL,2010-01-01,13.26,,22.1325
GOOGL,2011-01-01,14.02,,18.94
GOOGL,2012-01-01,16.6875,,20.425
GOOGL,2013-01-01,22.8325,,25.435
GOOGL,2014-01-01,28.1,,28.685
GOOGL,2015-01-01,31.2025,,28.26
GOOGL,2016-01-01,38.06,,29.1475
GOOGL,2017-01-01,47.2775,,38.192499999999995
GOOGL,2018-01-01,54.9,,40.32
GOOGL,2019-01-01,59.8925,,26.0475
GOOGL,2020-01-01,72.045,,28.035
GOOGL,2021-01-01,125.185,,26.2125
GOOGL,2022-01-01,107.33250000000001,,20.8275
GOOGL,2023-01-01,122.76,,24.27
GOOGL,2024-01-01,171.35500000000002,,23.6
GOOGL,2025-01-01,175.75333333333333,,18.976666666666667
META,2013-01-01,38.6225,,397.66499999999996
META,2014-01-01,70.7575,,74.5075
META,2015-01-01,90.1425,,84.5125
META,2016-01-01,117.2825,,52.26
META,2017-01-01,159.22,,34.265
META,2018-01-01,161.53,,24.53
META,2019-01-01,184.7425,,29.287499999999998
META,2020-01-01,230.965,,26.715
META,2021-01-01,327.6975,,24.752499999999998
META,2022-01-01,159.035,,14.2075
META,2023-01-01,286.6975,,27.35
META,2024-01-01,535.3774999999999,,26.189999999999998
META,2025-01-01,691.9466666666667,,31.900000000000002
AVGO,2010-01-01,1.665,,13.535
AVGO,2011-01-01,2.3375000000000004,,10.815000000000001
AVGO,2012-01-01,2.5325,,11.3475
AVGO,2013-01-01,2.8,,12.775
AVGO,2014-01-01,5.22,,37.7275
AVGO,2015-01-01,9.0375,,32.535
AVGO,2016-01-01,11.9625,,52.0075
AVGO,2017-01-01,18.515,,54.394999999999996
AVGO,2018-01-01,18.7725,,7.8375
AVGO,2019-01-01,24.6525,,30.357499999999998
AVGO,2020-01-01,27.400000000000002,,47.1625
AVGO,2021-01-01,43.957499999999996,,37.94
AVGO,2022-01-01,50.4075,,23.8825
AVGO,2023-01-01,71.5525,,22.4125
AVGO,2024-01-01,142.81,,93.3575
AVGO,2025-01-01,238.62,,97.13333333333333
