Ticker,Year,MarketCap
GE,2015,118488235441.49126
GE,2016,138478054991.08087
GE,2017,122163970478.805
GE,2018,62719065891.55767
GE,2019,50293842915.94733
GE,2020,42492264957.82815
GE,2021,66193932410.99584
GE,2022,52472260890.87072
GE,2023,86666397649.23706
AMD,2010,12871375676.86504
AMD,2011,11586112063.043875
AMD,2012,8229551800.911272
AMD,2013,5482881090.874737
AMD,2014,5942943383.52258
AMD,2015,3784050860.3517904
AMD,2016,8527895738.78325
AMD,2017,20142160666.021282
AMD,2018,27936383466.135853
AMD,2019,48589570320.04691
AMD,2020,106490315949.48232
AMD,2021,164143575052.1722
AMD,2022,147496118620.06857
AMD,2023,167200173003.93152
CSCO,2010,60142255183.628624
CSCO,2011,45247396405.08379
CSCO,2012,49242689051.05591
CSCO,2013,61648296413.42162
CSCO,2014,68124562973.29494
CSCO,2015,80565314647.12961
CSCO,2016,86126600745.06487
CSCO,2017,102614771274.0955
CSCO,2018,141388695885.09973
CSCO,2019,166291106812.61334
CSCO,2020,146181358526.47864
CSCO,2021,186689400138.85498
CSCO,2022,174690242853.65863
CSCO,2023,188942787531.73828
ASML,2010,12054599346.185108
ASML,2011,14878422633.298239
ASML,2012,19783956437.99438
ASML,2013,29292721974.01864
ASML,2014,33280415427.99208
ASML,2015,35922250188.991005
ASML,2016,36410982742.079475
ASML,2017,54067894487.79588
ASML,2018,71532495376.23431
ASML,2019,82393812250.77312
ASML,2020,133105826353.70186
ASML,2021,268545792589.55698
ASML,2022,216200321217.27933
ASML,2023,255281271003.8086
TMUS,2010,16218753586.641726
TMUS,2011,23561482093.438747
TMUS,2012,16389641159.74148
TMUS,2013,24347241299.361423
TMUS,2014,33538929508.019764
TMUS,2015,39964798769.048744
TMUS,2016,48568420286.495895
TMUS,2017,68632039836.63843
TMUS,2018,69379416614.2883
TMUS,2019,82662220593.97598
TMUS,2020,113921948341.46739
TMUS,2021,142797238721.6197
TMUS,2022,146405108885.16418
TMUS,2023,156787072558.90387
BABA,2014,229194493061.4803
BABA,2015,185065084965.70312
BABA,2016,191390527406.21115
BABA,2017,321088902527.1957
BABA,2018,398291905888.9147
BABA,2019,396643449244.473
BABA,2020,543219203924.06384
BABA,2021,448805172463.22546
BABA,2022,219122088289.56845
BABA,2023,203176584125.45438
PM,2010,39757913943.51629
PM,2011,53584845947.71165
PM,2012,71836072229.41348
PM,2013,76465039564.01196
PM,2014,75395167154.21735
PM,2015,77959981635.87848
PM,2016,94325052183.62175
PM,2017,112879021358.50836
PM,2018,94233104599.46169
PM,2019,91623518049.52902
PM,2020,93046879669.69908
PM,2021,119300907764.83122
PM,2022,130951549101.93996
PM,2023,135291368057.97087
WFC,2010,60432670687.359985
WFC,2011,60792006458.13733
WFC,2012,73012471343.13284
WFC,2013,91830456470.62988
WFC,2014,118276714594.02003
WFC,2015,132139826641.45262
WFC,2016,121627259581.6509
WFC,2017,140707166345.1298
WFC,2018,145354761084.77274
WFC,2019,133117002260.16457
WFC,2020,85181318325.06645
WFC,2021,127911782390.72949
WFC,2022,136479997153.24182
WFC,2023,129451084396.389
TM,2010,66238282378.8453
TM,2011,68821855188.97626
TM,2012,72834925269.06017
TM,2013,109723946902.55614
TM,2014,111100499561.54538
TM,2015,127593043553.41821
