Ticker,Year,Volume
TSLA,2017,95021796.812749
TSLA,2018,129181601.5936255
TSLA,2019,137383833.33333334
TSLA,2020,225923862.45059288
TSLA,2021,82174886.90476191
TSLA,2022,86936333.06772909
TSLA,2023,137351640.0
TSM,2010,14139352.38095238
TSM,2011,14703195.634920634
TSM,2012,10584957.2
TSM,2013,10370385.714285715
TSM,2014,11061446.031746032
TSM,2015,12244503.174603175
TSM,2016,7093236.904761905
TSM,2017,5732108.7649402395
TSM,2018,8042509.960159362
TSM,2019,7595102.380952381
TSM,2020,9486466.403162055
TSM,2021,9534554.761904761
TSM,2022,12932933.864541832
TSM,2023,10682594.8
BRK-B,2010,7968425.793650794
BRK-B,2011,5574231.746031746
BRK-B,2012,4246890.4
BRK-B,2013,3714948.8095238097
BRK-B,2014,3477790.0793650793
BRK-B,2015,3602022.619047619
BRK-B,2016,3702447.619047619
BRK-B,2017,3370261.752988048
BRK-B,2018,4521509.960159362
BRK-B,2019,3842267.4603174604
BRK-B,2020,6257018.972332016
BRK-B,2021,4553467.857142857
BRK-B,2022,4446878.884462152
BRK-B,2023,3351735.2
WMT,2010,40215392.85714286
WMT,2011,36381396.428571425
WMT,2012,27717045.6
WMT,2013,20854488.095238097
WMT,2014,19546836.904761903
WMT,2015,27127936.904761903
WMT,2016,28116755.95238095
WMT,2017,26710743.824701194
WMT,2018,28399041.035856575
WMT,2019,18125685.714285713
WMT,2020,27183709.09090909
WMT,2021,24977269.04761905
WMT,2022,23904305.976095617
WMT,2023,18941738.4
JPM,2010,41151403.17460317
JPM,2011,38452565.87301587
JPM,2012,33076562.4
JPM,2013,21125133.333333332
JPM,2014,15803590.476190476
JPM,2015,15871202.777777778
JPM,2016,17055612.698412698
JPM,2017,13947196.414342629
JPM,2018,15176603.187250996
JPM,2019,11768765.476190476
JPM,2020,19229968.37944664
JPM,2021,12905609.92063492
JPM,2022,13677462.151394423
JPM,2023,10746045.2
ORCL,2010,31532253.57142857
ORCL,2011,31328866.666666668
ORCL,2012,26762385.6
ORCL,2013,23011721.42857143
ORCL,2014,15168297.222222222
ORCL,2015,14885947.61904762
ORCL,2016,13721410.317460317
ORCL,2017,13626900.398406375
ORCL,2018,18314775.697211154
ORCL,2019,13039955.555555556
ORCL,2020,13097647.43083004
ORCL,2021,11388565.476190476
ORCL,2022,8346655.378486056
ORCL,2023,9151480.0
V,2010,27273144.444444444
V,2011,22611047.61904762
V,2012,13293838.4
V,2013,12934580.952380951
V,2014,11694361.904761905
V,2015,8896680.952380951
V,2016,9501258.333333334
V,2017,7678052.589641434
V,2018,8556381.673306772
V,2019,7559172.619047619
V,2020,9731501.976284586
V,2021,8735264.285714285
V,2022,7508262.948207172
V,2023,5971248.0
LLY,2010,7303888.492063492
LLY,2011,8259085.714285715
LLY,2012,7146037.2
LLY,2013,5611423.015873016
LLY,2014,4628769.841269841
LLY,2015,4943252.380952381
LLY,2016,4779227.777777778
LLY,2017,3652890.438247012
LLY,2018,4325031.075697212
LLY,2019,7058441.26984127
LLY,2020,3937483.3992094863
LLY,2021,3363721.8253968256
LLY,2022,2895696.812749004
LLY,2023,3064757.6
MA,2010,16618567.46031746
MA,2011,11530694.444444444
MA,2012,8498004.0
MA,2013,6367321.428571428
MA,2014,5429810.317460317
MA,2015,4318583.333333333
MA,2016,4170278.1746031744
MA,2017,3190072.111553785
MA,2018,3945010.7569721118
MA,2019,3419540.476190476
MA,2020,4698897.233201581
MA,2021,4062901.984126984
MA,2022,3411692.828685259
MA,2023,2635650.4
NFLX,2010,28281111.111111112
NFLX,2011,44388291.666666664
NFLX,2012,40863788.0
NFLX,2013,27443613.888888888
NFLX,2014,19438155.555555556
NFLX,2015,18575888.095238097
NFLX,2016,12836284.126984127
NFLX,2017,6590004.780876494
NFLX,2018,11469624.70119522
NFLX,2019,7857728.968253968
NFLX,2020,6933900.790513834
NFLX,2021,3914700.396825397
NFLX,2022,10876290.438247012
NFLX,2023,6401964.0
XOM,2010,26432254.365079366
XOM,2011,21940620.23809524
XOM,2012,15003279.6
XOM,2013,12631733.73015873
XOM,2014,11726997.222222222
XOM,2015,14089219.444444444
XOM,2016,12408399.206349207
XOM,2017,10951135.059760956
XOM,2018,13635874.103585657
XOM,2019,11619611.507936507
XOM,2020,28811418.972332016
XOM,2021,23986906.34920635
XOM,2022,25323267.729083665
XOM,2023,17480114.4
COST,2010,3836305.9523809524
COST,2011,2546804.761904762
COST,2012,2347915.6
COST,2013,1808811.507936508
COST,2014,2084253.9682539683
COST,2015,2144562.698412698
COST,2016,2405456.3492063493
COST,2017,3086512.3505976098
COST,2018,2345097.609561753
COST,2019,1971298.4126984128
COST,2020,2755082.6086956523
COST,2021,2240895.238095238
COST,2022,2485948.605577689
COST,2023,1864723.6
PLTR,2020,64230696.92307692
PLTR,2021,56144374.603174604
PLTR,2022,41651126.69322709
PLTR,2023,59097109.6
JNJ,2010,12146800.0
JNJ,2011,12472056.349206349
JNJ,2012,11922292.8
JNJ,2013,8927684.126984127
JNJ,2014,7533592.063492063
JNJ,2015,8244732.936507937
JNJ,2016,7551629.365079365
JNJ,2017,5859507.1713147415
JNJ,2018,7665013.944223108
JNJ,2019,7090444.444444444
JNJ,2020,8042740.71146245
JNJ,2021,7137174.206349206
JNJ,2022,7265052.589641434
JNJ,2023,11198728.0
HD,2010,15789932.142857144
HD,2011,11637141.666666666
HD,2012,9565862.8
HD,2013,6998686.507936508
HD,2014,6435684.523809524
HD,2015,5113994.444444444
HD,2016,5136718.650793651
HD,2017,4491718.3266932275
HD,2018,4982033.466135458
HD,2019,4192342.4603174604
HD,2020,4743367.588932807
HD,2021,3807432.5396825396
HD,2022,4279330.278884462
HD,2023,3659521.2
PG,2010,11967932.936507937
PG,2011,10490821.825396825
PG,2012,10839774.8
PG,2013,8653309.92063492
PG,2014,8108636.111111111
PG,2015,8828651.984126983
PG,2016,12013682.53968254
PG,2017,7301870.517928286
PG,2018,9489360.9561753
PG,2019,7569230.555555556
PG,2020,8000736.363636363
PG,2021,7752911.507936508
PG,2022,7325294.4223107565
PG,2023,6292801.2
ABBV,2013,6259331.746031746
ABBV,2014,9136328.174603175
ABBV,2015,10486105.952380951
ABBV,2016,8018055.158730159
ABBV,2017,5990490.836653386
ABBV,2018,7082670.119521912
ABBV,2019,7828973.015873016
ABBV,2020,9449449.011857707
ABBV,2021,6819636.111111111
ABBV,2022,6466389.6414342625
ABBV,2023,5503538.0
SAP,2010,1969273.0158730159
SAP,2011,1770811.507936508
SAP,2012,1678792.0
SAP,2013,1261952.7777777778
SAP,2014,1031906.3492063492
SAP,2015,1128863.492063492
SAP,2016,1017644.8412698413
SAP,2017,686273.7051792828
SAP,2018,966489.2430278885
SAP,2019,742849.2063492064
SAP,2020,949610.2766798419
SAP,2021,713735.3174603175
SAP,2022,1210960.15936255
SAP,2023,886818.4
BAC,2010,188958075.7936508
BAC,2011,212879046.42857143
BAC,2012,197652313.6
BAC,2013,119522134.52380952
BAC,2014,85453048.41269842
BAC,2015,84425960.31746031
BAC,2016,108393858.73015873
BAC,2017,78875646.61354582
BAC,2018,67920839.84063745
BAC,2019,54198188.88888889
BAC,2020,68046849.80237155
BAC,2021,48437864.28571428
BAC,2022,46550373.30677291
BAC,2023,48273122.0
CVX,2010,10324613.492063493
CVX,2011,9127567.857142856
CVX,2012,6491130.0
CVX,2013,5738768.650793651
CVX,2014,6529386.111111111
CVX,2015,9252181.746031746
CVX,2016,8054686.904761905
CVX,2017,5589161.354581674
CVX,2018,6682325.498007968
CVX,2019,6320622.619047619
CVX,2020,11200872.727272727
CVX,2021,10482366.26984127
CVX,2022,11478780.478087649
CVX,2023,8647762.0
KO,2010,20568367.46031746
KO,2011,18213459.523809522
KO,2012,15188386.8
KO,2013,14423351.984126983
KO,2014,15311280.952380951
KO,2015,14372063.095238095
KO,2016,13372105.158730159
KO,2017,11384552.589641435
KO,2018,12525482.470119521
KO,2019,12844082.53968254
KO,2020,17000662.05533597
KO,2021,15835411.111111112
KO,2022,16023500.796812749
KO,2023,13753245.6
GE,2010,15073468.861111112
GE,2011,13358759.555555556
GE,2012,9564746.024
GE,2013,7945438.71031746
GE,2014,6597225.412698412
GE,2015,10962578.404761905
GE,2016,7413803.78968254
GE,2017,9621873.6812749
GE,2018,18807627.446215138
GE,2019,14155836.087301588
GE,2020,19655744.217391305
GE,2021,13529082.658730159
GE,2022,10415831.525896415
GE,2023,7153772.168
AMD,2010,25842271.42857143
AMD,2011,21938331.746031746
AMD,2012,20718758.8
AMD,2013,25108144.84126984
AMD,2014,23721249.206349205
AMD,2015,13634672.61904762
AMD,2016,30708605.555555556
AMD,2017,65161449.800796814
AMD,2018,84610999.20318726
AMD,2019,66301094.047619045
AMD,2020,61573043.87351779
AMD,2021,51250906.34920635
AMD,2022,91416127.09163347
AMD,2023,61603460.0
CSCO,2010,59979900.0
CSCO,2011,68310700.79365079
CSCO,2012,41753722.8
CSCO,2013,39114258.333333336
CSCO,2014,32836812.698412698
CSCO,2015,27094164.682539683
CSCO,2016,24814713.492063493
CSCO,2017,20208953.78486056
CSCO,2018,24713039.442231074
CSCO,2019,20525362.698412698
CSCO,2020,25028760.4743083
CSCO,2021,19287558.73015873
CSCO,2022,21285761.752988048
CSCO,2023,18573332.4
ASML,2010,2028651.4722222222
ASML,2011,2249034.3333333335
ASML,2012,1928113.932
ASML,2013,1398545.238095238
ASML,2014,1023530.5555555555
ASML,2015,1096846.4285714286
ASML,2016,796136.1111111111
ASML,2017,888217.529880478
ASML,2018,984163.7450199203
ASML,2019,653126.9841269841
ASML,2020,844905.5335968379
