TickerName,RollingWindow,ROI,MaxDrawdown,SharpeRatio,ROI_to_MDD
AAPL,20,2.183381088825214,-0.3957298907646476,3.690176092367024,5.517351960971117
GOOGL,20,2.0690476190476197,-0.10205351586807712,4.342669669141625,20.274143437862964
META,20,3.387564196625089,-0.6539139990168011,3.961412753797013,5.180442996660868
MSFT,20,0.9580133128520227,-0.15450980392156866,3.503208242603896,6.200339968966136
TSLA,20,0.0,0.0,0.0,
AAPL,60,2.7936962750716323,-0.3957298907646476,4.13439323003808,7.0596038870693425
GOOGL,60,2.0690476190476197,-0.10205351586807712,4.342669669141625,20.274143437862964
META,60,4.504141739530604,-0.6539139990168011,4.422855659483544,6.887972648242506
MSFT,60,0.9580133128520227,-0.15450980392156866,3.503208242603896,6.200339968966136
TSLA,60,0.0,0.0,0.0,
AAPL,120,2.7936962750716323,-0.3957298907646476,4.13439323003808,7.0596038870693425
GOOGL,120,2.0690476190476197,-0.10205351586807712,4.342669669141625,20.274143437862964
META,120,4.504141739530604,-0.6539139990168011,4.422855659483544,6.887972648242506
MSFT,120,0.9580133128520227,-0.15450980392156866,3.503208242603896,6.200339968966136
TSLA,120,0.0,0.0,0.0,
AAPL,180,2.7936962750716323,-0.3957298907646476,4.13439323003808,7.0596038870693425
GOOGL,180,2.0690476190476197,-0.10205351586807712,4.342669669141625,20.274143437862964
META,180,4.504141739530604,-0.6539139990168011,4.422855659483544,6.887972648242506
MSFT,180,0.9580133128520227,-0.15450980392156866,3.503208242603896,6.200339968966136
TSLA,180,0.0,0.0,0.0,
AAPL,250,2.7936962750716323,-0.3957298907646476,4.13439323003808,7.0596038870693425
GOOGL,250,2.0690476190476197,-0.10205351586807712,4.342669669141625,20.274143437862964
META,250,4.504141739530604,-0.6539139990168011,4.422855659483544,6.887972648242506
MSFT,250,0.9580133128520227,-0.15450980392156866,3.503208242603896,6.200339968966136
TSLA,250,0.0,0.0,0.0,
AAPL,500,2.7936962750716323,-0.3957298907646476,4.13439323003808,7.0596038870693425
GOOGL,500,2.0690476190476197,-0.10205351586807712,4.342669669141625,20.274143437862964
META,500,4.504141739530604,-0.6539139990168011,4.422855659483544,6.887972648242506
MSFT,500,0.9580133128520227,-0.15450980392156866,3.503208242603896,6.200339968966136
TSLA,500,0.0,0.0,0.0,
