Ticker,StockPrice_x,NetEPS,PE,Year,StockPrice_y,BookValuePerShare,PB,DividendYield,MarketCap,ROE,NetIncome,ROA,TotalAssets,Volume,DebtToEquity
ABBV,68.4325,,16.845,2018,68.4325,,-11.915,0.000207702037063,125772855149.65771,354.345,,9.735,,7082670.119521912,-8.105
ABBV,61.055,,19.4825,2019,61.055,,-11.035,0.0002869995536083,105657219909.06004,-72.4675,,8.32,,7828973.015873016,-9.015
ABBV,75.0925,,18.4475,2020,75.0925,,4.415,0.0002598088271272,130411725284.89426,-38.6,,7.0225,,9449449.011857709,3.785
ABBV,99.1225,,24.525,2021,99.1225,,12.65,0.0002182669684911,170338047058.27014,56.325,,5.175,,6819636.111111111,9.79
ABBV,135.88,,19.42,2022,135.88,,14.97,0.0001732301999468,233450425361.49835,82.385,,8.715,,6466389.641434263,7.845000000000001
ABBV,138.27,,37.765,2023,138.27,,20.27,0.0001724626043054,241482564295.8203,48.295,,4.995,,5503538.0,10.2
ABBV,175.0625,,61.04,2024,175.0625,,56.6475,,,61.4375,,3.6475,,,24.7775
ABBV,196.23666666666668,,89.96999999999998,2025,196.23666666666668,,-702.5566666666667,,,116.105,,2.845,,,-451.465
ABNB,,,,2017,,,,,,,,,,,0.0
ABNB,,,,2018,,,,,,,,,,,-13.78
ABNB,,,,2019,,,,,,,,,,,-11.29
ABNB,,,,2020,146.8,,30.31,0.0,63343364499.02344,-632.12,,-174.84,,15450106.666666666,0.655
ABNB,167.12,,0.0,2021,168.82999999999998,,21.925,0.0,71909432099.37444,-174.41,,-45.4525,,6512850.396825396,2.5975
ABNB,112.845,,67.765,2022,112.845,,14.03,0.0,53677514954.24187,28.130000000000003,,8.557500000000001,,6447163.346613546,2.255
ABNB,131.4775,,28.52,2023,131.4775,,12.8975,0.0,53467787571.140144,59.2475,,18.68,,6181707.2,2.2125
ABNB,143.7025,,29.755,2024,143.7025,,11.135,,,44.6475,,15.6175,,,1.875
ABNB,119.745,,30.24,2025,119.745,,9.34,,,30.91,,10.74,,,2.16
ABT,17.2925,,5.4375,2010,17.2925,,1.255,0.0001820478916505,30571185620.205635,23.3625,,9.39,,16316886.345238095,1.635
ABT,18.785,,6.265,2011,18.785,,1.1675,0.0001962493466442,31917770027.2846,19.7525,,7.865,,17734964.80952381,1.4275
ABT,24.165,,6.91,2012,24.165,,1.465,0.0001672007716963,40611083724.72394,22.1175,,9.0675,,14492313.46,1.45
ABT,28.065,,13.0175,2013,28.065,,1.85,8.052560875907102e-05,49134678569.87444,15.17,,7.1325,,8065756.746031746,0.8375
ABT,33.5525,,23.2875,2014,33.5525,,2.2075,0.000108991367417,57591616971.1476,9.575,,5.3475,,6015338.888888889,0.8175
ABT,37.245000000000005,,12.8,2015,37.245000000000005,,2.5225,0.0001020604873713,66480305400.30915,19.915,,10.42,,5828200.396825396,0.9425
ABT,34.182500000000005,,29.5425,2016,34.182500000000005,,2.4175,0.0001173704680417,59520346968.555244,8.8475,,4.54,,9070165.476190476,1.0625
ABT,44.06,,81.72,2017,44.06,,2.42,0.0001052012354087,73156732513.6481,4.9,,2.1925,,6613708.366533864,1.295
ABT,58.8725,,125.3075,2018,58.8725,,3.3325,8.129430027162377e-05,98671845421.8354,3.735,,1.6475,,6275388.844621514,1.2425
ABT,75.13,,43.370000000000005,2019,75.13,,4.2,7.345640581954749e-05,125871550475.39452,9.98,,4.5725,,5178551.587301588,1.1575
ABT,88.7275,,44.2475,2020,88.7275,,4.98,6.660841833818816e-05,152676884941.0029,11.6425,,5.3225,,6703762.055335969,1.205
ABT,114.61,,31.3275,2021,114.61,,5.855,6.622088667978511e-05,195936587762.9096,19.6975,,9.115,,5356153.571428572,1.13
ABT,101.99,,23.545,2022,101.99,,4.91,7.020454688546181e-05,183050280582.39703,21.735,,10.495,,5518127.888446216,1.0375
ABT,100.03,,32.292500000000004,2023,100.03,,4.595,8.293240200426232e-05,173919189589.53976,14.7,,7.4325,,5171784.0,0.935
ABT,108.7875,,28.74,2024,108.7875,,4.565,,,18.9725,,10.26,,,0.8175
ABT,132.97,,16.856666666666666,2025,132.97,,4.6066666666666665,,,30.18,,17.41,,,0.655
ACN,29.7325,,11.7075,2010,29.7325,,6.1775,9.753162264851331e-05,19633897800.196297,50.5675,,13.93,,4420829.365079365,2.6775
ACN,42.4125,,13.035,2011,42.4125,,7.03,0.0001010281434659,26349383083.689102,56.8025,,15.66,,4995829.365079365,2.56
ACN,48.43,,12.5575,2012,48.43,,6.8925,0.000112516106492,30457446149.49652,55.945,,16.325,,3395762.8,2.3625
ACN,61.6025,,12.7325,2013,61.6025,,7.335,0.0001163490820072,37907360670.87564,59.7175,,19.55,,3101372.222222222,1.9375
ACN,68.515,,15.2,2014,68.515,,7.45,0.0001208733418529,41801330312.19861,50.6325,,17.465,,2798778.1746031744,1.845
ACN,81.89,,17.32,2015,81.89,,8.1825,0.0001002852207019,51302244013.17794,47.6525,,17.3625,,2482483.333333333,1.705
ACN,97.835,,15.75,2016,97.835,,8.0475,9.122962306997752e-05,60616070207.89994,54.7025,,21.1725,,2556062.698412698,1.505
ACN,115.7175,,20.4075,2017,115.7175,,7.9525,9.057775508021344e-05,70772801072.90628,41.71,,17.28,,2117194.0239043823,1.3425
ACN,145.7775,,23.5725,2018,145.7775,,8.4675,8.029302381747772e-05,89096887967.11884,38.43,,16.9425,,2272415.139442231,1.21
ACN,168.3675,,23.2425,2019,168.3675,,7.3475,5.4458694140501134e-05,103064810529.82188,35.35,,17.145,,1861894.4444444445,1.0325
