Ticker,Year,PE,PB,ROE,ROA,DebtToEquity,DividendYield,MarketCap,Volume,Value_Score,Quality_Score,Risk_Score,Total_Score,Rank
MRK,2019,19.3125,6.445,32.7575,11.0575,2.09,0.000127977,162593649104.98813,10215832.48015873,0.3,1,0,0.52,4
AMAT,2019,13.5675,4.985,40.3525,16.6925,1.31,7.70854714164132e-05,34966798899.15858,8955157.54,0.6000000000000001,0.8,0.19999999999999996,0.6000000000000001,3
TSM,2019,19.9225,4.0225,20.7325,15.76,0.36,0.000205533,199757436702.7773,7595102.380952381,0,0.2,0.4,0.16000000000000003,12
GILD,2019,14.835,2.975,22.5275,7.91,1.7975,0.000189949,64284229856,6611788.492063492,0.5,0.4,0.6,0.48000000000000004,6
COP,2019,7.85,1.6525,22.6225,10.5625,1.085,0.000109062,61787933675.962425,6504154.365079365,0.3,1,0.8,0.68,2
MDLZ,2019,18.42,2.5275,14.0875,5.7675,1.4125,9.30130406426164e-05,57814119227.85815,6399559.920634921,0.2,0.6,0.6,0.44,7
MDT,2019,23.8375,2.1775,9.285,5.205,0.795,9.72318751028002e-05,106870369138.44656,4972468.253968254,0.2,0.9,0.8,0.6000000000000001,3
UNH,2019,16.8525,3.7975,23.9825,8.1775,1.96,7.2469172202121e-05,206041506524.73813,4349676.984126984,0.39999999999999997,1,0.6,0.68,2
NTES,2019,17.3375,0.9975,27.2375,15.13,0.78,0.000146711,29417472229.307796,3564537.698412698,0.5,0.5,0,0.4,8
UNP,2019,17.825,5.8,31.9975,9.95,2.425,9.876222546393916e-05,87233259257,3388730.1587301586,0,0.7,0,0.27999999999999997,10
EMR,2019,16.8875,4.3675,26.265,10.8075,1.465,0.000138329,32735941518.65641,3117118.6507936507,0.2,0.8,0.4,0.4800000000000001,5
PGR,2019,11.8,2.8975,26.805,6.7325,2.93,0.000191499,37900173244,3106684.126984127,0.3,1,0.8,0.68,2
NVO,2019,19.7325,3.655,73.4,32.97,1.2725,0.000106518,77619983838,2839237.301587302,0.3,0.2,0,0.2,11
HON,2019,17.04,5.8425,35.53,11.1075,2.1775,9.124001623037776e-05,92586647719.25656,2693576.587301587,0.2,1,0.19999999999999996,0.52,4
PFE,2020,13.2675,2.2575,18.0075,6.86,1.6175,0.000205236,155646185616.02194,33873149.27272727,0.4,0.5,0.6,0.48000000000000004,9
INTC,2020,9.3375,2.56,28.86,15.5525,0.91,0.000108164,214369930478.7979,31579733.201581027,0.6000000000000001,1,0,0.6400000000000001,4
WMT,2020,19.9375,4.0975,21.365,7.1175,1.9575,7.086205817523785e-05,320957141610.2772,27183709.09090909,0.2,0.9,0.19999999999999996,0.48000000000000004,9
CSCO,2020,14.4025,4.2225,30.535,11.675,1.525,0.000154189,146181358526.47864,25028760.47,0.3,0.9,0.19999999999999996,0.52,7
CMCSA,2020,15.9725,1.975,13.1625,4.175,2.0925,0.000101714,137884108470.47714,21245119.76284585,0.3,0.2,0.6,0.32,15
VZ,2020,9.5125,2.6625,29.2475,6.275,3.595,0.000230016,180529802176.8852,16595267.588932808,0.5,0.4,0.8,0.52,7
MRK,2020,17.695,6.1,36.32,11.34,2.295,0.000143944,164566278335.3637,10760424.51778656,0.5,1,0,0.6000000000000001,5
TSM,2020,22.175,5.77,28.7275,20.2725,0.4475,0.000114103,330826823303.00134,9486466.403162057,0,1,0,0.4,10
CVS,2020,9.16,1.02,11.615,3.355,2.4125,0.000146099,68885965089.00835,8713649.011857707,0.8,0.6,0.4,0.6400000000000001,4
AMAT,2020,16.42,5.3575,35.6375,15.5225,1.255,5.505683207869818e-05,47458403803,8290430.830039525,0.19999999999999996,0.4,0.4,0.32000000000000006,14
PG,2020,30.555,5.815,23.7375,9.4625,1.525,0.000109782,262559230510.5565,8000736.363636363,0.1,0.8,0,0.36000000000000004,12
NEM,2020,12.875,1.6925,14.195,8.0425,0.7375,8.163060797497306e-05,54046285823,7887717.786561265,0.4,1,0.6,0.68,3
MDLZ,2020,20.2625,2.5825,13.165,5.42,1.4575,9.87089389211244e-05,62537277326.940544,6973031.225296442,0.2,0.6,0.19999999999999996,0.36,13
SONY,2020,12.4975,0.3975,16.6375,3.49,3.805,2.8226318494319392e-05,85930507069.93176,6156049.407114624,0.4,0.7,0.6,0.56,6
MDT,2020,26.8825,2.3275,8.86,4.9125,0.835,0.000105807,114030752252.7392,5551250.592885376,0.2,0.8,0.4,0.4800000000000001,8
GSK,2020,8.0325,0.6075,32.9875,7.4425,3.0475000000000003,0.000249041,64591878355.52357,4050865.612648221,0.7,0.7,0.8,0.72,2
UNH,2020,17.14,4.0275,25.2925,8.5425,1.935,6.805033685661862e-05,2.53015E+11,4029517.391304348,0.39999999999999997,1,0.8,0.7200000000000001,1
MMM,2020,12.3625,5.445,47.4625,11.4225,3.03,0.000176417,58638914427,3991224.569169961,0.8,0.5,0.19999999999999996,0.56,6
NTES,2020,22.0375,2.1975,26.630000000000003,15.2575,0.7275,4.916830478875478e-05,46969063631.002205,3529816.6007905137,0.1,0.5,0.4,0.32,15
HON,2020,20.0625,5.7625,30.0425,9.1,2.4425,0.000100857,93962247741.81288,3475055.3359683794,0.3,0.7,0,0.39999999999999997,11
PFE,2021,12.95,2.7675,23.315,9.645,1.3575,0.000188689,195614526586.9279,32992144.444444444,0.2,0.8,0.8,0.56,8
INTC,2021,10.965,2.415,23.5925,12.635,0.8325,0.00010963,223881035680.4449,28743400.4,0.5,0.6,0.19999999999999996,0.48,11
WMT,2021,36.5325,4.32,12.875,4.4925,1.7825,6.612252411867264e-05,356329092328.8011,24977269.04761905,0.1,0.4,0.4,0.28,16
CSCO,2021,18.315,4.7175,26.9375,11.1275,1.3475,0.000130118,186689400138.85495,19287558.73015873,0.19999999999999996,0.6,0.6,0.43999999999999995,12
CMCSA,2021,17.17,2.2925,14.1275,4.8,1.8775,7.991712917655873e-05,179411950476.96133,17367271.42857143,0.1,0.4,0.8,0.36000000000000004,14
MRK,2021,22.9675,5.135,26.87,8.8625,1.8625,0.000159444,167516001531.56607,12899511.706349207,0.4,0.6,0.4,0.48000000000000004,10
ORCL,2021,18.3775,-43.7675,345.46250000000003,10.75,-22.39,6.382106546051902e-05,216129290108.74365,11388565.476190476,0.6000000000000001,1,0.8,0.8000000000000002,1
TSM,2021,28.545,7.800000000000001,29.9,19.5325,0.595,6.765970212131238e-05,573783592003.8269,9534554.762,0,0.9,0,0.36000000000000004,14
MO,2021,19.8325,-11.8125,173.235,7.625,-7.495,0.0003956,57041887825.08214,8098185.714285715,0.5,0.8,0.8,0.68,4
PG,2021,23.4625,6.8,29.71,11.7625,1.585,0.000110181,293821283159.8548,7752911.507936508,0.2,1,0,0.48000000000000004,10
MDLZ,2021,18.9175,2.815,15.3675,6.3175,1.4125,9.4550131963955e-05,70861353342.50888,6950315.079365079,0.2,1,0.7,0.62,6
NEM,2021,22.2425,1.8125,9.1225,5.3,0.745,0.000166217,58128069060.535965,6515194.444444444,0.3,0.8,0.6,0.56,8
ABT,2021,31.3275,5.855,19.6975,9.115,1.13,6.622088667978511e-05,195936587762.9096,5356153.571428572,0.4,1,0.8,0.7200000000000001,3
GSK,2021,10.9575,0.7,21.995,5.8475,2.655,0.000266279,66700249317.84157,4641511.904761905,0.6,0.4,0.8,0.56,8
LOW,2021,19.22,-109.63,6481.84,14.0425,-42.52,6.086126869801016e-05,104372609506.51384,3706879.761904762,0.5,1,0.8,0.7600000000000001,2
BX,2021,13.1725,3.2225,28.955,15.6875,0.8375,0.000167896,65777825288.57639,3528846.4285714286,0.2,1,0.8,0.6400000000000001,5
UNH,2021,23.47,5.095,22.845,7.875,1.905,5.919678143148289e-05,344255070586.1249,2961595.634920635,0,0.4,0.8,0.32000000000000006,15
NTES,2021,31.4575,0.9875,16.1825,9.47,0.6975,3.429553403468584e-05,60953784117.90718,2960273.412698413,0.35,0.4,0.6,0.42000000000000004,13
MMM,2021,13.225,5.3025,43.8,12.53,2.2925,0.000146509,71250714538.98744,2894395.484126984,0.7,0.5,0.6,0.6,7
PGR,2021,12.0825,2.95,27.065,7.33,2.805,0.000276681,53132348796.10889,2753384.9206349207,0.2,0.8,0.6,0.52,9
INTC,2022,8.945,1.325,16.78,9.555,0.725,0.000163365,159188451373.57364,39055493.22709163,0.8,0.2,0.8,0.56,7
XOM,2022,8.7025,1.8125,23.7675,12.105,0.935,0.000170839,353049800540.2974,25323267.729083665,0.3,1,0.4,0.6000000000000001,6
PFE,2022,8.4225,2.6375,34.6875,15.46,1.1525,0.000150387,238692611624.83893,24241780.47808765,0.5,1,0.8,0.7600000000000001,3
WMT,2022,31.6175,4.34,14.0475,5.0725,1.8825,6.458705211885793e-05,353149725675.9706,23904305.976095617,0.2,0.8,0.4,0.4800000000000001,9
CSCO,2022,15.805,4.59,29.02,12.46,1.34,0.000136035,174690242853.65863,21285761.752988048,0.5,0.8,0.8,0.68,4
MU,2022,9.1675,1.5325,17.97,13.4825,0.3425,3.1606018155791434e-05,72868741953.16219,19322923.505976096,0.4,0.6,0.4,0.48000000000000004,10
TSM,2022,14.645,4.6325,34.295,20.2225,0.71,9.084852624740104e-05,446695955646.7518,12932933.864541832,0.6000000000000001,0.9,0,0.6000000000000001,6
BMY,2022,21.8125,4.275,19.1725,6.215,2.11,0.000140193,130158685535.4838,12053788.44621514,0.19999999999999996,0.8,0,0.4,12
MRK,2022,14.355,4.92,37.4575,14.545,1.465,0.000136703,205089896073.99496,10589456.57370518,0.7,1,0.8,0.84,1
GILD,2022,18.51,3.665,20.125,6.4075,2.0575,0.000198281,74359092281.18541,8563735.856573705,0.5,0.6,0.4,0.52,8
COP,2022,7.547499999999999,2.3925,34.265,17.785,0.915,0.000210722,116715090446.65488,7818650.199203188,0.3,1,0.8,0.68,4
MDLZ,2022,23.765,2.875,12.52,5.16,1.5,0.000101764,75849001961.05435,7450058.565737052,0,0.4,0,0.16000000000000003,14
PG,2022,23.0775,6.9525,31.2175,11.9775,1.595,0.000106208,318186676953.64813,7325294.422310756,0.3,1,0,0.52,8
MDT,2022,24.24,2.2175,9.295,5.315,0.74,0.000133956,109083742911.43942,6349707.569721116,0.5,1,0.8,0.7600000000000001,3
ABT,2022,23.545,4.91,21.735,10.495,1.0375,7.020454688546181e-05,183050280582.39703,5518127.888446216,0.6000000000000001,1,0.8,0.8000000000000002,2
SHEL,2022,5.484999999999999,0.925,19.6225,8.405,1.32,0.000121079,139173047042.49225,5084592.4860557765,0.5,1,0.19999999999999996,0.6400000000000001,5
BX,2022,20.205,3.035,16.482499999999998,8.4075,1.1475,0.000202602,68751426850.99106,4844849.800796812,0.19999999999999996,0.8,0.19999999999999996,0.44,11
PLD,2022,23.025,2.0675,9.465,6.125,0.5375000000000001,0.000110749,110876308980.30392,3889099.601593625,0.39999999999999997,1,0.19999999999999996,0.6000000000000001,6
UNH,2022,24.9325,5.8975,24.7725,8.4025,2.015,5.3616401366449424e-05,440782698320.25226,3098387.6494023902,0,0.8,0,0.32000000000000006,13
NVO,2022,32.3225,6.2725,72.58250000000001,25.415,1.99,6.305862597693601e-05,176349188973.83716,2991980.079681275,0,0.2,0,0.08,15
PFE,2023,25.7375,1.7775,16.42,7.8775,1.225,0.000206069,183166424951.03693,28238846.4,0.4,0.30000000000000004,0.6,0.4,12
BABA,2023,16.845,0.3925,8.6375,5.4625,0.5775,5.665999872476962e-05,203176584125.4544,19553051.2,0.8,0.4,0.4,0.56,5
WMT,2023,31.0925,4.8575,16.0775,5.38,2.0025,6.222202458786897e-05,397315017697.7412,18941738.4,0.2,0.8,0,0.4000000000000001,11
CSCO,2023,15.855,4.4125,29.3075,12.7175,1.2775,0.000129305,188942787531.73828,18573332.4,0.5,0.8,0.8,0.68,1
XOM,2023,9.1375,1.9525,23.5525,12.9125,0.7775000000000001,0.000144632,432298036983.3594,17480114.4,0.2,0.9,0.8,0.6000000000000001,4
TSM,2023,16.2225,4.555,29.3525,17.775,0.6174999999999999,7.84952895966259e-05,467953332439.3531,10682594.8,0.6,0.5,0.19999999999999996,0.48,9
BMY,2023,14.7625,3.685,25.1575,8.307500000000001,2.0625,0.000154621,115694342731.37328,10326534,0.19999999999999996,0.8,0.19999999999999996,0.44,10
BP,2023,4.94,1.1225,25.58,7.58,2.2275,0.000199442,85807033067,8530403.2,0.2,1,0.19999999999999996,0.52,7
QCOM,2023,16.2225,6.3275,43.775,17.3275,1.365,0.00011015,123559224373.15564,8114767.6,0.7,0.4,0.8,0.6000000000000001,4
PG,2023,23.6625,7.005,31.3825,12.1125,1.5575,0.000106498,329828066788.05505,6292801.2,0.2,1,0.4,0.56,5
MDLZ,2023,21.19,3.23,15.7875,6.202500000000001,1.52,9.6082740081304e-05,85954149470.49715,6236818.4,0.1,0.9,0,0.4,12
AMAT,2023,16.244999999999997,7.0875,48.99,23.4125,1.01,3.775997209491926e-05,104654705680.01305,5902540.4,0.4,0.8,0.8,0.6400000000000001,2
GILD,2023,16.4675,4.2325,26.58,9.055,1.8625,0.000162276,91442020243,5840155.6,0.3,1,0.6,0.64,3
COP,2023,10.4375,2.5875,26.37,13.7175,0.9275,0.000152833,130832677643.67336,5791421.6,0.1,0.8,0.6,0.48000000000000004,8
ABT,2023,32.292500000000004,4.595,14.7,7.4325,0.935,8.293240200426232e-05,173919189589.53976,5171784,0.5,0.6,0.8,0.6000000000000001,4
SHEL,2023,7.295,0.9975,15.7525,7.065,1.165,0.000171566,166028407576.06754,4936137.28,0.25,0.8,0.6,0.54,6
UPS,2023,15.3225,6.9725,47.3425,12.7225,2.715,0.000172649,114140535365.18576,3419080.4,0.7,0.5,0.8,0.64,3
ADI,2023,24.675,2.37,9.715,7.065,0.375,7.810536690819954e-05,87071693586,3350818.8,0.6,0.7,0.6,0.64,3
UNH,2023,21.0775,4.984999999999999,25.35,8.0575,2.1425,6.183936762441165e-05,437408182440.14575,3272940.4,0.4,0.7,0,0.44,10
DHR,2023,27.99,3.095,11.7725,7.04,0.635,1.8137913600914504e-05,155039633341.1456,3194454.016,0.6,0.6,0.8,0.64,3
TRI,2024,31.74,0,20.465,12.315,0.595,,,,0.6000000000000001,0.8,0.8,0.7200000000000001,3
NTES,2024,14.9725,0.7125,22.317500000000003,15.7075,0.4024999999999999,,,,0.7,0.8,0.8,0.7600000000000001,2
PDD,2024,13.0225,0.7875,45.335,25.76,0.6799999999999999,,,,0.7,1,0.8,0.84,1
BRK-B,2024,11.4075,0.935,14.355,7.755,0.815,,,,0.3,0.8,0.8,0.6000000000000001,6
PBR-A,2024,5.715,1.115,20.5225,7.592499999999999,1.8025,,,,0,0.6,0.19999999999999996,0.27999999999999997,17
PBR,2024,5.9975,1.1575,20.5225,7.592499999999999,1.8025,,,,0,0.6,0.19999999999999996,0.27999999999999997,17
XOM,2024,13.6625,1.8425,14.3575,8.285,0.6975,,,,0.19999999999999996,0.6,0.8,0.48,10
EMR,2024,25.7875,2.39,15.7825,9.3425,0.6675,,,,0.3,0.2,0.8,0.36000000000000004,16
COP,2024,12.77,2.45,20.2575,10.475,0.925,,,,0.19999999999999996,0.6,0.6,0.43999999999999995,13
ASML,2024,44.9275,3.3825,50.625,17.6425,1.705,,,,0.39999999999999997,0.5,0.4,0.44,12
CSCO,2024,17.8725,4.2675,25.01,10.515,1.585,,,,0.39999999999999997,0.2,0,0.24000000000000002,18
NVO,2024,38.7475,4.5425,87.53999999999999,27.9,2.2125,,,,0.3,0.8,0,0.44000000000000006,11
ABT,2024,28.74,4.565,18.9725,10.26,0.8175,,,,0.7,0.7,0.8,0.72,4
NVS,2024,13.62,4.7675,35.6325,15.1025,1.35,,,,0.3,0.9,0,0.48000000000000004,9
LIN,2024,33.715,5.305,15.9125,7.99,1.0225,,,,0.3,1,0,0.52,8
PH,2024,25.835,5.97,24.9525,9.89,1.355,,,,0,1,0.8,0.56,7
ETN,2024,34.885,6.6125,19.225,9.49,1.04,,,,0,1,0.6,0.52,8
MRK,2024,50.2225,6.6275,26.9725,10.2475,1.5925,,,,0.1,0.6,0.6,0.39999999999999997,15
SYK,2024,40.6575,6.7375,17.55,8.3975,1.075,,,,0.2,1,0.8,0.6400000000000001,5
BAM,2024,38.0425,6.815,27.16,19.075,0.4025,,,,0.16666666666666669,0.6666666666666666,0.33333333333333337,0.4,14
PDD,2025,12.515,0,33.27,20.21,0.61,,,,0.8,0.7,0.8,0.7600000000000001,4
NTES,2025,16.785,0,22.83,16.71,0.36,,,,0.6000000000000001,1,0.8,0.8000000000000002,2
NVO,2025,17.485,0,80.91,24.22,2.53,,,,0.8,0.4,0,0.4800000000000001,12
ASML,2025,30.296666666666667,0,52.84,20.205,1.5750000000000002,,,,0.8,0.7,0.6,0.7200000000000001,5
AZN,2025,35.59,0,19.475,7.585,1.545,,,,0.55,1,0.8,0.7800000000000001,3
SAP,2025,50.083333333333336,0,13.985,8.475,0.645,,,,0.5,0.8,0.6,0.64,8
TRI,2025,36.93,0,18.06,11.71,0.5,,,,0.44999999999999996,0.6,0.8,0.5800000000000001,9
COP,2025,12.5,1.905,16.62,8.68,0.91,,,,0.5,0.4,0.8,0.52,11
NEM,2025,11.21,2.02,18.525,10.155,0.74,,,,0.2,1,0.8,0.6400000000000001,7
MU,2025,19.85333333333333,2.2333333333333334,11.565,7.595,0.525,,,,0.3,0.6,0,0.36,13
MRK,2025,12.506666666666666,4.253333333333333,36.47,14.56,1.39,,,,0.8,0.9,0.8,0.8400000000000002,1
ABT,2025,16.856666666666666,4.6066666666666665,30.18,17.41,0.655,,,,0.6000000000000001,1,0.8,0.8000000000000002,2
PGR,2025,20.176666666666662,4.973333333333334,34.845,8.915,2.6950000000000003,,,,0.3,1,0.8,0.68,6
NOC,2025,20.063333333333333,4.99,25.555,7.865,2.22,,,,0.19999999999999996,0.4,0.4,0.32000000000000006,14
CSCO,2025,26.026666666666667,5.403333333333333,20.845,7.74,1.64,,,,0,0.2,0,0.08,16
LIN,2025,33.49,5.52,16.735,8.11,1.125,,,,0.3,1,0,0.52,11
NVS,2025,17.3,5.53,31.565,13.04,1.54,,,,0.1,0.7,0,0.31999999999999995,15
GOOGL,2025,18.976666666666667,5.96,34.43,24.975,0.38,,,,0.6000000000000001,1,0.8,0.8000000000000002,2
ACN,2025,24.28,6.056666666666668,26.155,13.335,0.995,,,,0.8,0.30000000000000004,0.4,0.52,11
QCOM,2025,17.996666666666666,6.07,42.345,20.57,1.01,,,,0.5,0.5,0.8,0.56,10
