TickerName,RollingWindow,ROI,MaxDrawdown,SharpeRatio,ROI_to_MDD
AAPL,20,2.4396284829721373,-0.3957298907646476,3.8875957533499785,6.164883017196842
GOOGL,20,7.225410271925483,-0.3909299256892839,5.903247777308579,18.48262258046812
META,20,3.76397930228676,-0.6539139990168013,4.138041814817442,5.756076958049725
MSFT,20,1.2341268604041034,-0.07085557510512032,4.086974370640206,17.417498320677947
TSLA,20,0.0,0.0,0.0,
AAPL,60,3.0990712074303417,-0.3957298907646476,4.331398282025261,7.831279061185327
GOOGL,60,3.493350962597914,-0.18215514958962145,5.146687534140106,19.177887479262086
META,60,10.895843765648465,-0.6539139990168013,5.750635972462782,16.662502686945096
MSFT,60,0.22017409114183328,-0.0654901960784314,1.7416675874484437,3.3619397150399677
TSLA,60,0.0,0.0,0.0,
AAPL,120,3.0990712074303417,-0.3957298907646476,4.331398282025261,7.831279061185327
GOOGL,120,3.493350962597914,-0.18215514958962145,5.146687534140106,19.177887479262086
META,120,10.895843765648465,-0.6539139990168013,5.750635972462782,16.662502686945096
MSFT,120,0.22017409114183328,-0.0654901960784314,1.7416675874484437,3.3619397150399677
TSLA,120,0.0,0.0,0.0,
AAPL,180,3.0990712074303417,-0.3957298907646476,4.331398282025261,7.831279061185327
GOOGL,180,3.493350962597914,-0.18215514958962145,5.146687534140106,19.177887479262086
META,180,10.895843765648465,-0.6539139990168013,5.750635972462782,16.662502686945096
MSFT,180,0.22017409114183328,-0.0654901960784314,1.7416675874484437,3.3619397150399677
TSLA,180,0.0,0.0,0.0,
AAPL,250,3.0990712074303417,-0.3957298907646476,4.331398282025261,7.831279061185327
GOOGL,250,3.493350962597914,-0.18215514958962145,5.146687534140106,19.177887479262086
META,250,10.895843765648465,-0.6539139990168013,5.750635972462782,16.662502686945096
MSFT,250,0.22017409114183328,-0.0654901960784314,1.7416675874484437,3.3619397150399677
TSLA,250,0.0,0.0,0.0,
AAPL,500,3.0990712074303417,-0.3957298907646476,4.331398282025261,7.831279061185327
GOOGL,500,3.493350962597914,-0.18215514958962145,5.146687534140106,19.177887479262086
META,500,10.895843765648465,-0.6539139990168013,5.750635972462782,16.662502686945096
MSFT,500,0.22017409114183328,-0.0654901960784314,1.7416675874484437,3.3619397150399677
TSLA,500,0.0,0.0,0.0,
